x,y,y_predicted,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6
3795,8.79944e-05,6.46230606861359e-05,1.542112991309255e-07,4.397329342240205e-33,2.324896374076366e-08,2.0584914261099538e-23,1.1109733620260223e-05,5.3713708091545074e-05
3790,8.59041e-05,6.664030492140632e-05,1.559048200544596e-07,4.445560798678555e-33,2.352421322030973e-08,2.0833616223707403e-23,1.1560875835495875e-05,5.527784134117677e-05
3785,6.10626e-05,6.874963339672038e-05,1.5762638901145087e-07,4.494589528140884e-33,2.380437714758845e-08,2.1086852277869182e-23,1.2037428038358608e-05,5.6908615880743836e-05
3780,8.48825e-05,7.09560385399856e-05,1.5937662874897794e-07,4.5444331858504574e-33,2.4089573149408772e-08,2.134473330149238e-23,1.2540713370032981e-05,5.860970025659534e-05
3775,8.12087e-05,7.32648025975639e-05,1.6115617939221943e-07,4.595109918058714e-33,2.4379922390948208e-08,2.1607373582294125e-23,1.3072102864215475e-05,6.038500492010635e-05
3770,0.000116748,7.56815155924077e-05,1.629656990295917e-07,4.6466383785111134e-33,2.4675549704176963e-08,2.1874890944400844e-23,1.3633015431625016e-05,6.223870020059001e-05
3765,0.000104098,7.821209452954762e-05,1.6480586432099977e-07,4.699037745560224e-33,2.4976583721749854e-08,2.2147406880465255e-23,1.4224917690296825e-05,6.417523567974914e-05
3760,7.36817e-05,8.086280393928344e-05,1.6667737113025043e-07,4.752327739955293e-33,2.5283157016633533e-08,2.2425046689577282e-23,1.4849323632208614e-05,6.619936106746904e-05
3755,8.81629e-05,8.364027785170889e-05,1.6858093518273078e-07,4.806528643339006e-33,2.5595406247751405e-08,2.270793962126108e-23,1.550779411702874e-05,6.831614868179077e-05
3750,7.62612e-05,8.655154329831922e-05,1.705172927495121e-07,4.861661317483697e-33,2.5913472311944232e-08,2.2996219025866893e-23,1.6201936184099335e-05,7.053101763769952e-05
3745,6.45753e-05,8.960404543692867e-05,1.7248720135909958e-07,4.9177472243009825e-33,2.6237500502561108e-08,2.3290022511684536e-23,1.6933402174179842e-05,7.284975984942826e-05
3740,8.43243e-05,9.28056743943369e-05,1.744914405381117e-07,4.9748084466605174e-33,2.6567640675013517e-08,2.3589492109123901e-23,1.770388865298283e-05,7.527856794868204e-05
3735,8.28406e-05,9.616479391633394e-05,1.7653081258224112e-07,5.0328677100554636e-33,2.6904047419643557e-08,2.3894774442328093e-23,1.8515135129139183e-05,7.782406521573397e-05
3730,9.29099e-05,9.969027190571655e-05,1.786061433589198e-07,5.091948405154186e-33,2.724688024227794e-08,2.4206020908606176e-23,1.936892255993981e-05,8.049333761071664e-05
3725,0.00010782,0.00010339151291472595,1.8071828314318723e-07,5.152074611279868e-33,2.759630375286047e-08,2.452338786609549e-23,2.026707163901985e-05,8.329396797735115e-05
3720,0.000121685,0.00010727849263710202,1.8286810748834052e-07,5.213271120861831e-33,2.795248786257847e-08,2.484703683008752e-23,2.1211440861083815e-05,8.623407246920838e-05
3715,0.000130853,0.00011136179441476641,1.850565181330301e-07,5.275563464904804e-33,2.8315607989922744e-08,2.517713467847747e-23,2.2203924359821343e-05,8.93223392173632e-05
3710,0.000114905,0.00011565264773247016,1.8728444394655494e-07,5.3389779395247845e-33,2.8685845276146564e-08,2.551385386682542e-23,2.3246449516336247e-05,9.256806921545231e-05
