label,parameter,lower_bound,upper_bound
Offset,0,-0.5,1.5
Nonresonant background,0.1,-1,1
Peak1 Amplitude,0,-5,5
Peak1 Center,2850.6,2800,2900
Peak1 Tau,14.3,0.1,50
Peak1 Sigma,10,0.1,200
Peak1 Eta,0.5,0,1
Peak2 Amplitude,-0.4,-5,5
Peak2 Center,2878.1,2825,2925
Peak2 Tau,4.9,0.1,50
Peak2 Sigma,10,0.1,200
Peak2 Eta,0.5,0,1
Peak3 Amplitude,-0.5,-5,5
Peak3 Center,2892.6,2850,2950
Peak3 Tau,19.1,0.1,50
Peak3 Sigma,10,0.1,200
Peak3 Eta,0.5,0,1
Peak4 Amplitude,-0.5,-5,5
Peak4 Center,2939.8,2900,2975
Peak4 Tau,7.3,0.1,50
Peak4 Sigma,10,0.1,200
Peak4 Eta,0.5,0,1
Peak5 Amplitude,0,-5,5
Peak5 Center,2947.1,2900,3000
Peak5 Tau,0.2,0.1,50
Peak5 Sigma,10,0.1,200
Peak5 Eta,0.5,0,1
Peak6 Amplitude,0.3,-5,5
Peak6 Center,2964.5,2900,3025
Peak6 Tau,10,0.1,50
Peak6 Sigma,10,0.1,200
Peak6 Eta,0.5,0,1
Peak7 Amplitude,2.2,0,20
Peak7 Center,3233.7,3100,3350
Peak7 Tau,100,10,250
Peak7 Sigma,10,0.1,200
Peak7 Eta,0.5,0,1
Peak8 Amplitude,2.2,0,20
Peak8 Center,3426.2,3350,3600
Peak8 Tau,127.1,10,250
Peak8 Sigma,10,0.1,200
Peak8 Eta,0.5,0,1
Peak9 Amplitude,-1,-10,10
Peak9 Center,3591.2,3500,3700
Peak9 Tau,98,10,250
Peak9 Sigma,10,0.1,200
Peak9 Eta,0.5,0,1
