x,y,y_predicted,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8
3795,8.79944e-05,9.866910111116066e-05,3.9639312478579116e-10,1.6083145414768088e-07,3.1189017427006737e-07,3.190097907704683e-07,1.2570112795315956e-07,1.5307936485395024e-05,3.1667923009704624e-05,1.9316617684515257e-05
3790,8.59041e-05,9.908629629872548e-05,4.0062301549900585e-10,1.6259990513646356e-07,3.153737701868157e-07,3.22772724330263e-07,1.2722822289802853e-07,1.5575698317263155e-05,3.2449030916284703e-05,2.0108138841233e-05
3785,6.10626e-05,9.951433258882246e-05,4.0492096930547136e-10,1.643976849858117e-07,3.1891604872779507e-07,3.266026304956627e-07,1.287833145671551e-07,1.5850469163326047e-05,3.325816557647991e-05,2.094507022569952e-05
3780,8.48825e-05,9.995576183984058e-05,4.0928845422905897e-10,1.662254458316669e-07,3.225183351708897e-07,3.305011080090736e-07,1.3036709149548312e-07,1.6132492933950583e-05,3.409661766817185e-05,2.1830547342349974e-05
3775,8.12087e-05,0.0001004136616406447,4.1372697808389905e-10,1.680838580366049e-07,3.2618199241269764e-07,3.3446980360358936e-07,1.319802635145235e-07,1.6422024109767686e-05,3.4965748459743145e-05,2.2767930250872082e-05
3770,0.000116748,0.0001008917306823771,4.182380897755279e-10,1.6997361080456608e-07,3.2990842225703317e-07,3.3851041374206957e-07,1.3362356254768002e-07,1.6719328288710917e-05,3.5866994104222394e-05,2.3760814819646847e-05
3765,0.000104098,0.00010139440042921366,4.2282338065193905e-10,1.7189541281991138e-07,3.336990667552018e-07,3.4262468643018785e-07,1.3529774344044373e-07,1.702468276587609e-05,3.6801870200668734e-05,2.4813042738920544e-05
3760,7.36817e-05,0.00010192696565469023,4.2748448590674254e-10,1.7384999291190827e-07,3.375554096004429e-07,3.468144231070642e-07,1.3700358482721052e-07,1.7338377148433583e-05,3.7771976636766665e-05,2.592870959319791e-05
3755,8.81629e-05,0.00010249573672522709,4.322230860367407e-10,1.7583810074581366e-07,3.414789775790569e-07,3.510814806173026e-07,1.387418900365837e-07,1.7660714007993972e-05,3.8779002726568926e-05,2.71121700842156e-05
3750,7.62612e-05,0.00010310821682614732,4.3704090835634073e-10,1.7786050754177209e-07,3.454713420808611e-07,3.554277732684606e-07,1.4051348803712284e-07,1.7992009573010502e-05,3.982473265708031e-05,2.836803923716815e-05
3745,6.45753e-05,0.00010377330761580173,4.4193972857135823e-10,1.799180068228207e-07,3.4953412067176674e-07,3.598552749782112e-07,1.4231923442562026e-07,1.83325944640001e-05,4.091105125685395e-05,2.9701188103934236e-05
3740,8.43243e-05,0.00010450154702687804,4.4692137241488333e-10,1.8201141519335276e-07,3.536689787314102e-07,3.6436602151568964e-07,1.4416001246010288e-07,1.8682814474578617e-05,4.203995009890801e-05,3.11167320875156e-05
3735,8.28406e-05,0.00010530538306143321,4.519877173480231e-10,1.8414157314946695e-07,3.578776311589343e-07,3.689621128417763e-07,1.460367341398884e-07,1.9043031401539752e-05,4.321353394897629e-05,3.262000954133801e-05
3730,9.29099e-05,0.00010619948737734895,4.5714069432847894e-10,1.8630934592270262e-07,3.621618441501788e-07,3.7364571555334464e-07,1.479503413351609e-07,1.9413623927458732e-05,4.44340275682791e-05,3.4216547736172417e-05
3725,0.00010782,0.00010720111214071886,4.623822896500652e-10,1.8851562435874456e-07,3.6652343704971565e-07,3.784190654367745e-07,1.4990180696867805e-07,1.9794988559575894e-05,4.5703782877515805e-05,3.591201262994729e-05
3720,0.000121685,0.00010833049288748155,4.677145468564432e-10,1.9076132583275931e-07,3.7096428428135365e-07,3.8328447013636155e-07,1.5189213625237716e-07,2.0187540629013167e-05,4.7025286485486285e-05,3.771213812140032e-05
3715,0.000130853,0.00010961129882039854,4.7313956873251e-10,1.9304739520312371e-07,3.7548631736093473e-07,3.8824431194355967e-07,1.5392236798181341e-07,2.0591715354699233e-05,4.840116758146794e-05,3.9622629627637226e-05
3710,0.000114905,0.00011107112983333555,4.786595193770648e-10,1.9537480580539325e-07,3.800915269954524e-07,3.9330105071335384e-07,1.5599357589154514e-07,2.1007968976729804e-05,4.9834206184988046e-05,4.164903592552017e-05
3705,0.000131099,0.00011274205631310758,4.842766263605632e-10,1.9774456048846454e-07,3.8478196527275225e-07,3.9845722691443033e-07,1.581068700747623e-07,2.1436779964271926e-05,5.13273417396823e-05,4.379658229071857e-05
3700,0.000134408,0.00011466119306794616,4.899931829719795e-10,2.0015769269499014e-07,3.895597479463053e-07,4.0371546482020157e-07,1.6026339847066754e-07,2.1878650303535084e-05,5.288368202921252e-05,4.6069957147594624e-05
3695,0.000133488,0.00011687129216623642,4.958115505590044e-10,2.026152675882189e-07,3.9442705681980204e-07,4.09078475848173e-07,1.624643484233255e-07,2.2334106871784375e-05,5.450651238235759e-05,4.8473043852460354e-05
3690,0.000132508,0.00011942133060896655,5.017341609660317e-10,2.0511838322755756e-07,3.993861422365811e-07,4.145490620555811e-07,1.6471094831593526e-07,2.2803702903861315e-05,5.6199305120966025e-05,5.100858908780329e-05
3685,0.00016816,0.0001223670572040541,5.077635190746415e-10,2.0766817179527282e-07,4.0443932567919186e-07,4.2013011979972134e-07,1.6700446928472344e-07,2.3288019558213594e-05,5.7965729187940333e-05,5.367779995127244e-05
3680,0.000140209,0.00012577144849060327,5.139022054515193e-10,2.1026580087689615e-07,4.0958900248469463e-07,4.2582464357188646e-07,1.6934622701692207e-07,2.378766759001692e-05,5.980965987221681e-05,5.647986359129372e-05
3675,8.13189e-05,0.00012970500609757194,5.201528791090505e-10,2.1291247479803134e-07,4.148376446816224e-07,4.31635730014397e-07,1.717375836375802e-07,2.4303289139606833e-05,6.173518852308773e-05,5.9411386692174806e-05
3670,0.000105901,0.000134245808062562,5.265182803840906e-10,2.1560943602042498e-07,4.2018780395487483e-07,4.37566582130781e-07,1.741799496902579e-07,2.483555964513057e-05,6.374663211635578e-05,6.246575785910293e-05
3665,0.000144106,0.00013947920577343524,5.330012339407316e-10,2.1835796660031992e-07,4.2564211474517775e-07,4.436205136997877e-07,1.7667478621698263e-07,2.5385189889081437e-05,6.584854249874384e-05,6.563244464587159e-05
3660,0.00013539,0.00014549703893826504,5.396046519032082e-10,2.2115938971228905e-07,4.3120329749013063e-07,4.4980095390459866e-07,1.7922360694318963e-07,2.595292818920182e-05,6.804571509357534e-05,6.889624916801517e-05
3655,0.000125588,0.0001523962275404595,5.463315371254272e-10,2.240150712419293e-07,4.368741620142853e-07,4.561114521893028e-07,1.8182798057375062e-07,2.6539562745135685e-05,7.034319679870846e-05,7.22365622215988e-05
3650,8.74155e-05,0.0001602765981283298,5.531849866039668e-10,2.2692642145099665e-07,4.4265761107613485e-07,4.625556833554794e-07,1.844895332065873e-07,2.714592415319027e-05,7.274629274556952e-05,7.562667525463489e-05
3645,0.00019301,0.0001692378197637877,5.601681950417946e-10,2.2989489671877183e-07,4.4855664408036325e-07,4.6913745291255444e-07,1.8720995087080633e-07,2.777288810263237e-05,7.526057151422858e-05,7.903323109145287e-05
3640,0.00021082,0.00017937537118111068,5.672844585703505e-10,2.329220013636705e-07,4.545743609642208e-07,4.758607026964687e-07,1.8999098219674877e-07,2.842137826810879e-05,7.789186831193915e-05,8.241591525379265e-05
3635,0.000212796,0.0001907755430069103,5.745371786380913e-10,2.3600928954935364e-07,4.6071396626741136e-07,4.82729516772149e-07,1.9283444122584884e-07,2.9092369414049943e-05,8.064628551938892e-05,8.572750560231868e-05
3630,0.000172808,0.0002035096012933367,5.819298660740552e-10,2.391583672798462e-07,4.6697877339546503e-07,4.897481276362861e-07,1.957422103687305e-07,2.978689072830028e-05,8.353018988789743e-05,8.891440271485145e-05
3625,0.000242463,0.00021762739740758028,5.894661453355154e-10,2.4237089448844523e-07,4.7337220908717894e-07,4.969209227380032e-07,1.9871624352054553e-07,3.050602940373112e-05,8.655020552966877e-05,9.191774981939617e-05
3620,0.000249953,0.0002331508889953251,5.97149758949301e-10,2.456485872254942e-07,4.798978180973566e-07,5.042524513361718e-07,2.0175856934318127e-07,3.1250934488238724e-05,8.971320167968244e-05,9.46752127119935e-05
3615,0.000251953,0.00025006820753544173,6.049845721569551e-10,2.489932199504012e-07,4.865592681067936e-07,5.117474317133907e-07,2.0487129472462614e-07,3.202282102532865e-05,9.302627401973828e-05,9.712342350927497e-05
3610,0.000299792,0.0002683290273988612,6.129745777744793e-10,2.524066279336235e-07,4.933603548721877e-07,5.194107587679778e-07,2.0805660842650915e-07,3.282297450944602e-05,9.64967181407768e-05,9.920099995654682e-05
3605,0.000285106,0.0002878420114939596,6.211239012780794e-10,2.558907097746837e-07,5.003050076294695e-07,5.272475120067884e-07,2.113167849315999e-07,3.3652755682346514e-05,0.0001001319934777491,0.00010085194537642009
3600,0.000324757,0.00030847499016538614,6.294368061279908e-10,2.5944743004267146e-07,5.073972947649034e-07,5.352629639632269e-07,2.146541885038953e-07,3.451360569912743e-05,0.00010393967578197255,0.00010202913291716246
3595,0.000331498,0.00033005825919425643,6.379176993432156e-10,2.6307882204608596e-07,5.146414297692216e-07,5.434625890664963e-07,2.1807127747482366e-07,3.540705169506723e-05,0.00010792739590072518,0.00010269750682893147
3590,0.000332479,0.0003523909851881156,6.465711373407673e-10,2.667869907393101e-07,5.220417774910526e-07,5.518520729899421e-07,2.2157060877007005e-07,3.63347127871725e-05,0.00011210276231689742,0.00010283661722996999
3585,0.000395148,0.00037525025041388986,6.554018320538682e-10,2.70574115773476e-07,5.296028607069584e-07,5.604373225082983e-07,2.251548426925867e-07,3.7298306547315785e-05,0.00011647326457040816,0.00010244215767734964
3580,0.000363609,0.0003984018514407446,6.64414657344432e-10,2.744424546999759e-07,5.373293670265241e-07,5.6922447589574e-07,2.2882674797848992e-07,3.829965598708626e-05,0.00012104615435015568,0.00010152629440999603
3575,0.000407057,0.0004216116855980073,6.736146557261111e-10,2.7839434633540973e-07,5.452261561521679e-07,5.782199138989189e-07,2.32589207143781e-07,3.934069709797896e-05,0.00012582830072923245,0.0001001167410728079
3570,0.000409678,0.0004446564843021878,6.830070454152273e-10,2.824322142973359e-07,5.532982675146465e-07,5.874302713216084e-07,2.3644522214116795e-07,4.0423486994334794e-05,0.00013082601574404489,9.825470786283691e-05
3565,0.000428881,0.0004673327969906783,6.925972277279763e-10,2.865585707208032e-07,5.615509283066332e-07,5.968624492602244e-07,2.403979203477087e-07,4.155021271052299e-05,0.00013604484632745198,9.599200095201487e-05
3560,0.00047954,0.0004894634503995649,7.023907948434832e-10,2.907760201663086e-07,5.699895619382583e-07,6.065236280323553e-07,2.4445056090557596e-07,4.272320070824168e-05,0.00014148932854767554,9.338763713968164e-05
3555,0.000472772,0.0005109011214240292,7.123935379535275e-10,2.950872637305286e-07,5.786197969401256e-07,6.164212808435194e-07,2.4860654143993917e-07,4.3944927154505756e-05,0.00014716270024464482,9.050435753713685e-05
3550,0.000451526,0.0005315290728060961,7.226114558211049e-10,2.994951033719411e-07,5.874474763410676e-07,6.265631882407242e-07,2.528694051798156e-07,4.521802903589432e-05,0.00015306656857731103,8.740537900194687e-05
3545,0.000479824,0.0005512594318110239,7.330507637714322e-10,3.0400244646426935e-07,5.964786675497844e-07,6.369574534050141e-07,2.572428485097526e-07,4.6545316179934945e-05,0.00015920052980191837,8.415163320879225e-05
3540,0.000559384,0.0005700296000280691,7.437179031405418e-10,3.0861231059156963e-07,6.057196727715365e-07,6.476125183391335e-07,2.617307289823853e-07,4.7929784260090844e-05,0.0001655617399132812,8.079963638889806e-05
3535,0.000565251,0.0005877974618798998,7.546195512082756e-10,3.133278285997237e-07,6.151770399932535e-07,6.585371810106807e-07,2.663370738242966e-07,4.937462886665473e-05,0.00017214443673502217,7.740003113531771e-05
3530,0.000541491,0.0006045360329424843,7.65762631644264e-10,3.181522539201302e-07,6.248575745727675e-07,6.697406135157551e-07,2.7106608897018985e-07,5.0883260731890905e-05,0.0001789394167841864,7.399676097084846e-05
