label,parameter,lower_bound,upper_bound
Offset,0,-0.5,0.5
Nonresonant background,0,-0.1,0.1
Peak1 Amplitude,0.008,0.006,0.010
Peak1 Center,2875,2845,2905
Peak1 Tau,20,1,60
Peak1 Sigma,20,1,60
Peak1 Eta,0.5,0,1
Peak2 Amplitude,0.0007,0,0.0017
Peak2 Center,2895,2894,2910
Peak2 Tau,50,1,100
Peak2 Sigma,50,1,100
Peak2 Eta,0.5,0,1
Peak3 Amplitude,0.004,0.002,0.006
Peak3 Center,2940,2890,2990
Peak3 Tau,30,1,50
Peak3 Sigma,30,1,50
Peak3 Eta,0.5,0,1
Peak4 Amplitude,0.0008,0,0.0018
Peak4 Center,2960,2910,3010
Peak4 Tau,30,1,50
Peak4 Sigma,30,1,50
Peak4 Eta,0.5,0,1
Peak5 Amplitude,0.0005,0,0.0015
Peak5 Center,3230,3130,3330
Peak5 Tau,300,50,500
Peak5 Sigma,300,50,500
Peak5 Eta,0.5,0,1
Peak6 Amplitude,0.0003,0,0.0013
Peak6 Center,3450,3250,3650
Peak6 Tau,300,50,600
Peak6 Sigma,300,50,600
Peak6 Eta,0.5,0,1
